"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Harry Kane";"Bayern Munich";24;1968;30;5;24.53;6.02;1.12;0.28
2;"Deniz Undav";"VfB Stuttgart";21;1557;15;4;13.35;3;0.77;0.17
3;"Luis Díaz";"Bayern Munich";24;1999;14;11;12.38;8.01;0.56;0.36
4;"Serhou Guirassy";"Borussia Dortmund";24;1817;12;1;13.46;1.76;0.67;0.09
5;"Haris Tabakovic";"Borussia M.Gladbach";24;1808;11;2;11.96;1.45;0.6;0.07
6;"Nadiem Amiri";"Mainz 05";20;1667;10;2;7.35;4.18;0.4;0.23
7;"Andrej Kramaric";"Hoffenheim";25;1624;10;5;8.84;3.31;0.49;0.18
8;"Christoph Baumgartner";"RasenBallsport Leipzig";24;2003;10;6;12.52;2.8;0.56;0.13
9;"Michael Olise";"Bayern Munich";23;1798;10;16;8.5;13.99;0.43;0.7
10;"Yan Diomande";"RasenBallsport Leipzig";24;1729;10;5;6.41;6.2;0.33;0.32
11;"Jonathan Burkardt";"Eintracht Frankfurt";13;898;9;0;9.56;0.22;0.96;0.02
12;"Ermedin Demirovic";"VfB Stuttgart";16;1107;8;2;5.7;1.61;0.46;0.13
13;"Maximilian Beier";"Borussia Dortmund";23;1387;8;4;6.4;2.8;0.42;0.18
14;"Fisnik Asllani";"Hoffenheim";24;1753;8;5;7.45;4.22;0.38;0.22
15;"Mohammed Amoura";"Wolfsburg";22;1464;8;3;7.92;3.76;0.49;0.23
16;"Said El Mala";"FC Cologne";25;1225;8;3;7.68;1.86;0.56;0.14
17;"Patrik Schick";"Bayer Leverkusen";19;1327;7;2;10.16;2.28;0.69;0.15
18;"Vincenzo Grifo";"Freiburg";25;1289;7;1;5.15;4.08;0.36;0.29
19;"Tim Lemperle";"Hoffenheim";20;1341;7;2;6.68;2.12;0.45;0.14
20;"Jamie Leweling";"VfB Stuttgart";24;1766;7;6;3.66;4.19;0.19;0.21
21;"Jens Stage";"Werder Bremen";23;1989;7;2;4.53;3.19;0.2;0.14
22;"Rômulo";"RasenBallsport Leipzig";21;1620;7;4;11.29;3.4;0.63;0.19
23;"Julian Brandt";"Borussia Dortmund";20;1210;6;3;4.3;3.35;0.32;0.25
24;"Serge Gnabry";"Bayern Munich";19;1125;6;6;5.22;4.77;0.42;0.38
25;"Grischa Prömel";"Hoffenheim";25;1329;6;2;4.38;2;0.3;0.14
26;"Jakub Kaminski";"FC Cologne";25;2233;6;2;4.47;4.14;0.18;0.17
27;"Álex Grimaldo";"Bayer Leverkusen";21;1819;6;4;5;5.66;0.25;0.28
28;"Igor Matanovic";"Freiburg";22;910;6;1;6.44;0.99;0.64;0.1
29;"Can Uzun";"Eintracht Frankfurt";14;817;6;3;2.73;2.26;0.3;0.25
30;"Rani Khedira";"Union Berlin";24;2134;5;0;2.1;1.62;0.09;0.07
31;"Rayan Philippe";"Hamburger SV";22;1081;5;0;5.1;1.16;0.42;0.1
32;"Ragnar Ache";"FC Cologne";24;1370;5;3;7.75;2.53;0.51;0.17
33;"Karim Adeyemi";"Borussia Dortmund";23;1035;5;3;3.59;2.81;0.31;0.24
34;"Dzenan Pejcinovic";"Wolfsburg";22;910;5;0;5.15;0.52;0.51;0.05
35;"Stefan Schimmer";"FC Heidenheim";20;612;5;1;4.86;1.65;0.71;0.24
36;"Luka Vuskovic";"Hamburger SV";22;1980;5;0;4.48;0.41;0.2;0.02
37;"Christian Kofane";"Bayer Leverkusen";22;956;5;3;6.48;1.77;0.61;0.17
38;"Ernest Poku";"Bayer Leverkusen";23;1300;5;4;3.56;2.37;0.25;0.16
39;"Ilyas Ansah";"Union Berlin";25;1565;5;1;3.13;1.31;0.18;0.08
40;"Maximilian Mittelstädt";"VfB Stuttgart";23;1603;4;3;3.44;4;0.19;0.22
41;"Kevin Diks";"Borussia M.Gladbach";22;1867;4;0;3.99;0.53;0.19;0.03
42;"Oliver Burke";"Union Berlin";22;1105;4;1;4.22;1.63;0.34;0.13
43;"Martin Terrier";"Bayer Leverkusen";16;609;4;1;3.2;1.1;0.47;0.16
44;"Alexis Claude Maurice";"Augsburg";21;1557;4;4;4.57;2.27;0.26;0.13
45;"Chris Führich";"VfB Stuttgart";24;1085;4;4;1.85;4.9;0.15;0.41
46;"Ozan Kabak";"Hoffenheim";16;921;4;0;3.09;0.22;0.3;0.02
47;"Nico Schlotterbeck";"Borussia Dortmund";19;1710;4;1;3.05;0.82;0.16;0.04
48;"Edmond Tapsoba";"Bayer Leverkusen";21;1859;4;2;3.24;0.92;0.16;0.04
49;"Ritsu Doan";"Eintracht Frankfurt";25;1971;4;5;3.4;5.55;0.16;0.25
50;"Ansgar Knauff";"Eintracht Frankfurt";20;992;4;1;3.33;2.61;0.3;0.24
51;"Albert Sambi Lokonga";"Hamburger SV";19;1189;4;0;1.02;1.15;0.08;0.09
52;"Malik Tillman";"Bayer Leverkusen";20;1386;4;1;3.5;2.98;0.23;0.19
53;"Nicolas Jackson";"Bayern Munich";16;523;4;0;4.39;1.13;0.76;0.19
54;"Justin Njinmah";"Werder Bremen";24;1333;4;0;5.01;0.9;0.34;0.06
55;"Danilho Doekhi";"Union Berlin";25;2250;4;0;3.4;0.52;0.14;0.02
56;"Derry Scherhant";"Freiburg";22;714;4;1;2.3;1.31;0.29;0.16
57;"Fábio Vieira";"Hamburger SV";20;1462;4;4;3.89;3.08;0.24;0.19
58;"Yuito Suzuki";"Freiburg";20;1334;4;2;3.5;1.66;0.24;0.11
59;"Danel Sinani";"St. Pauli";22;1491;4;3;4.44;2.67;0.27;0.16
60;"Lennart Karl";"Bayern Munich";21;976;4;3;5.23;2.27;0.48;0.21
61;"Wouter Burger";"Hoffenheim";22;1790;4;5;2.66;5.16;0.13;0.26
62;"Andréas Hountondji";"St. Pauli";12;628;4;0;2.8;0.18;0.4;0.03
63;"Ransford Königsdörffer";"Hamburger SV";25;1766;4;0;6.81;0.99;0.35;0.05
64;"Michael Gregoritsch";"Augsburg";9;416;3;1;2.18;0.25;0.47;0.05
65;"Gian-Luca Waldschmidt";"FC Cologne";17;480;3;3;3.7;2.13;0.69;0.4
66;"Emre Can";"Borussia Dortmund";9;627;3;0;2.36;0;0.34;0
67;"Raphael Guerreiro";"Bayern Munich";12;447;3;2;1.84;1.34;0.37;0.27
68;"Jean-Luc Dompe";"Hamburger SV";18;1110;3;0;2.18;3.58;0.18;0.29
69;"Konrad Laimer";"Bayern Munich";20;1431;3;4;2.76;3.19;0.17;0.2
70;"Robin Koch";"Eintracht Frankfurt";24;2137;3;0;1.76;0.19;0.07;0.01
71;"Mattias Svanberg";"Wolfsburg";20;708;3;1;2.22;0.85;0.28;0.11
72;"Marius Bülter";"FC Cologne";23;1175;3;3;3.31;3.93;0.25;0.3
73;"Arnaud Kalimuendo Muinga";"Eintracht Frankfurt";10;681;3;1;3.05;0.8;0.4;0.11
74;"Jan Thielmann";"FC Cologne";19;1325;3;1;1.8;0.52;0.12;0.04
75;"David Raum";"RasenBallsport Leipzig";24;2130;3;5;2.28;8.92;0.1;0.38
76;"Patrick Wimmer";"Wolfsburg";17;1198;3;3;2.47;0.64;0.19;0.05
