Playing Time,Performance,Per 90 Minutes,,,,,,,,,,,,,,,,,,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,,,,,,,,,,,
?,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches,,,,,,,,,,,,,
1,Kylian Mbappé,fr FRA,FW,Real Madrid,27-081,1998,23,23,"2,020",22.4,23,4,27,15,8,9,3,0,1.02,0.18,1.2,0.67,0.85,Matches
2,Lamine Yamal,es ESP,"MF,FW",Barcelona,18-241,2007,23,22,"1,933",21.5,14,9,23,12,2,3,0,0,0.65,0.42,1.07,0.56,0.98,Matches
3,Vedat Muriqi,xk KVX,FW,Mallorca,31-321,1994,26,25,"2,138",23.8,18,1,19,13,5,6,3,1,0.76,0.04,0.8,0.55,0.59,Matches
4,Vinicius Júnior,br BRA,"FW,MF",Real Madrid,25-242,2000,26,23,"2,031",22.6,9,5,14,6,3,4,7,0,0.4,0.22,0.62,0.27,0.49,Matches
5,Mikel Oyarzabal,es ESP,FW,Real Sociedad,28-324,1997,24,23,"2,006",22.3,11,3,14,7,4,4,2,0,0.49,0.13,0.63,0.31,0.45,Matches
6,Ante Budimir,hr CRO,FW,Osasuna,34-232,1991,26,24,"2,022",22.5,13,0,13,9,4,5,1,0,0.58,0,0.58,0.4,0.4,Matches
7,Borja Iglesias,es ESP,FW,Celta Vigo,33-053,1993,24,16,"1,412",15.7,11,2,13,8,3,3,6,0,0.7,0.13,0.83,0.51,0.64,Matches
8,Alberto Moleiro,es ESP,MF,Villarreal,22-162,2003,26,23,"1,786",19.8,9,4,13,9,0,0,3,0,0.45,0.2,0.66,0.45,0.66,Matches
9,Ferrán Torres,es ESP,FW,Barcelona,26-010,2000,25,19,"1,514",16.8,12,1,13,12,0,0,2,0,0.71,0.06,0.77,0.71,0.77,Matches
10,Antony,br BRA,"MF,FW",Real Betis,26-015,2000,22,21,"1,795",19.9,7,5,12,7,0,0,3,1,0.35,0.25,0.6,0.35,0.6,Matches
11,Robert Lewandowski,pl POL,FW,Barcelona,37-202,1988,22,10,"1,059",11.8,11,1,12,10,1,3,2,0,0.93,0.08,1.02,0.85,0.93,Matches
12,Fermin López,es ESP,MF,Barcelona,22-304,2003,21,12,"1,216",13.5,5,7,12,5,0,0,2,0,0.37,0.52,0.89,0.37,0.89,Matches
13,Georges Mikautadze,ge GEO,FW,Villarreal,25-131,2000,22,16,"1,447",16.1,8,4,12,8,0,0,1,0,0.5,0.25,0.75,0.5,0.75,Matches
14,Dani Olmo,es ESP,MF,Barcelona,27-308,1998,22,16,"1,387",15.4,6,6,12,6,0,0,0,0,0.39,0.39,0.78,0.39,0.78,Matches
15,Julián Álvarez,ar ARG,FW,Atlético Madrid,26-039,2000,27,21,"1,780",19.8,8,3,11,6,2,3,2,0,0.4,0.15,0.56,0.3,0.46,Matches
16,Cucho,co COL,FW,Real Betis,26-325,1999,22,21,"1,833",20.4,8,3,11,7,1,1,2,0,0.39,0.15,0.54,0.34,0.49,Matches
17,Jorge de Frutos,es ESP,"FW,MF",Rayo Vallecano,29-019,1997,25,25,"1,790",19.9,10,1,11,9,1,1,2,0,0.5,0.05,0.55,0.45,0.5,Matches
18,Arda Güler,tr TUR,MF,Real Madrid,21-014,2005,27,22,"1,736",19.3,3,8,11,3,0,0,1,0,0.16,0.41,0.57,0.16,0.57,Matches
19,Raphinha,br BRA,"MF,FW",Barcelona,29-087,1996,18,15,"1,120",12.4,8,3,11,7,1,1,3,0,0.64,0.24,0.88,0.56,0.8,Matches
20,Akor Adams,ng NGA,FW,Sevilla,26-041,2000,22,15,"1,474",16.4,7,3,10,5,2,2,1,0,0.43,0.18,0.61,0.31,0.49,Matches
21,Lucas Boyé,ar ARG,FW,Alavés,30-011,1996,21,17,"1,622",18,9,1,10,7,2,2,3,1,0.5,0.06,0.55,0.39,0.44,Matches
22,Abde Ezzalzouli,ma MAR,"MF,FW",Real Betis,24-084,2001,18,16,"1,380",15.3,5,5,10,5,0,0,3,0,0.33,0.33,0.65,0.33,0.65,Matches
23,Pablo Fornals,es ESP,MF,Real Betis,30-017,1996,27,25,"2,118",23.5,6,4,10,6,0,0,2,0,0.25,0.17,0.42,0.25,0.42,Matches
24,Gonçalo Guedes,pt POR,MF,Real Sociedad,29-102,1996,27,19,"1,530",17,6,4,10,6,0,0,1,0,0.35,0.24,0.59,0.35,0.59,Matches
25,Marcus Rashford,eng ENG,"MF,FW",Barcelona,28-131,1997,23,14,"1,328",14.8,4,6,10,4,0,0,2,0,0.27,0.41,0.68,0.27,0.68,Matches
26,Alexander Sørloth,no NOR,FW,Atlético Madrid,30-096,1995,26,16,"1,461",16.2,10,0,10,10,0,0,3,1,0.62,0,0.62,0.62,0.62,Matches
27,Vladyslav Vanat,ua UKR,FW,Girona,24-066,2002,24,24,"1,788",19.9,9,1,10,6,3,3,4,0,0.45,0.05,0.5,0.3,0.35,Matches
28,Pedri,es ESP,MF,Barcelona,23-106,2002,19,14,"1,316",14.6,2,7,9,2,0,0,2,1,0.14,0.48,0.62,0.14,0.62,Matches
29,Álvaro Rodríguez,uy URU,FW,Elche,21-240,2004,24,17,"1,529",17,5,4,9,5,0,0,0,0,0.29,0.24,0.53,0.29,0.53,Matches
