"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Kylian Mbappe-Lottin";"Real Madrid";23;2041;23;4;21.65;6.51;0.95;0.29
2;"Vedat Muriqi";"Mallorca";26;2160;18;1;14.98;1.21;0.62;0.05
3;"Lamine Yamal";"Barcelona";23;1953;14;9;11.7;10.8;0.54;0.5
4;"Ante Budimir";"Osasuna";26;2061;13;0;12.28;0.71;0.54;0.03
5;"Ferrán Torres";"Barcelona";25;1558;12;1;13.66;2.11;0.79;0.12
6;"Robert Lewandowski";"Barcelona";22;1030;11;1;13.24;1.71;1.16;0.15
7;"Mikel Oyarzabal";"Real Sociedad";24;2033;11;3;11.42;5.2;0.51;0.23
8;"Borja Iglesias";"Celta Vigo";24;1432;11;2;9.77;1.66;0.61;0.1
9;"Alexander Sørloth";"Atletico Madrid";26;1462;10;0;9.23;1.22;0.57;0.08
10;"Jorge De Frutos";"Rayo Vallecano";25;1868;10;1;9.4;2.19;0.45;0.11
11;"Lucas Boyé";"Alaves";21;1618;9;1;9.58;2.58;0.53;0.14
12;"Vinícius Júnior";"Real Madrid";26;2069;9;5;9.97;5.25;0.43;0.23
13;"Alberto Moleiro";"Villarreal";26;1833;9;4;5.07;4.61;0.25;0.23
14;"Vladyslav Vanat";"Girona";24;1846;9;1;9.4;2.08;0.46;0.1
15;"Hugo Duro";"Valencia";26;1431;8;0;6.74;1.52;0.42;0.1
16;"Juan Camilo Hernández";"Real Betis";22;1866;8;3;8.68;4.05;0.42;0.2
17;"Raphinha";"Barcelona";18;1161;8;3;7.3;5.21;0.57;0.4
18;"Georges Mikautadze";"Villarreal";22;1458;8;4;10.16;3.38;0.63;0.21
19;"Julián Álvarez";"Atletico Madrid";27;1814;8;3;8.17;6.25;0.41;0.31
20;"Gerard Moreno";"Villarreal";13;772;7;0;4.07;2.64;0.47;0.31
21;"Rafa Mir";"Elche";22;1523;7;0;6.84;1.09;0.4;0.06
