"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Erling Haaland";"Manchester City";28;2349;22;7;22.83;4.68;0.87;0.18
2;"Thiago";"Brentford";29;2482;18;1;19.27;3.02;0.7;0.11
3;"Antoine Semenyo";"Bournemouth,Manchester City";28;2520;15;4;11.12;3.09;0.4;0.11
4;"João Pedro";"Chelsea";29;2175;14;5;13.87;3.73;0.57;0.15
5;"Hugo Ekitike";"Liverpool";26;1804;11;4;11.66;2.39;0.58;0.12
6;"Danny Welbeck";"Brighton";28;1654;10;0;9.28;1.19;0.5;0.06
7;"Dominic Calvert-Lewin";"Leeds";26;1941;10;1;12.06;1.48;0.56;0.07
8;"Viktor Gyokeres";"Arsenal";28;1903;10;0;9.23;2.09;0.44;0.1
9;"Harry Wilson";"Fulham";27;2152;9;6;4.57;4.01;0.19;0.17
10;"Bryan Mbeumo";"Manchester United";24;2093;9;3;9.55;4.24;0.41;0.18
11;"Bruno Guimarães";"Newcastle United";23;2022;9;4;5.77;3.15;0.26;0.14
12;"Cole Palmer";"Chelsea";18;1287;9;1;8.07;1.33;0.56;0.09
13;"Jarrod Bowen";"West Ham";29;2606;8;5;7.39;4.68;0.26;0.16
14;"Raúl Jiménez";"Fulham";28;1940;8;3;10.75;1.83;0.5;0.08
15;"Jean-Philippe Mateta";"Crystal Palace";23;1938;8;0;12.9;1.11;0.6;0.05
16;"Richarlison";"Tottenham";24;1301;8;3;5.92;2.22;0.41;0.15
17;"Morgan Gibbs-White";"Nottingham Forest";29;2508;8;2;8.33;3.09;0.3;0.11
18;"Ollie Watkins";"Aston Villa";28;2204;8;1;11.48;1.4;0.47;0.06
19;"Enzo Fernández";"Chelsea";28;2429;8;3;10.13;7.12;0.38;0.26
20;"Eli Junior Kroupi";"Bournemouth";24;1067;8;0;4.89;1.22;0.41;0.1
21;"Benjamin Sesko";"Manchester United";24;1289;8;1;9.45;0.53;0.66;0.04
22;"Morgan Rogers";"Aston Villa";29;2600;8;5;4.91;5.57;0.17;0.19
23;"Bruno Fernandes";"Manchester United";26;2272;7;14;9.78;11.88;0.39;0.47
24;"Ismaila Sarr";"Crystal Palace";19;1652;7;1;8.35;1.9;0.45;0.1
25;"Phil Foden";"Manchester City";25;1808;7;3;6.09;4.71;0.3;0.23
26;"Nick Woltemade";"Newcastle United";25;1574;7;2;7.66;1.25;0.44;0.07
27;"Kevin Schade";"Brentford";26;2088;7;3;9.69;4.07;0.42;0.18
28;"Jaidon Anthony";"Burnley";28;1972;7;1;3.7;2.22;0.17;0.1
29;"Zian Flemming";"Burnley";20;1016;7;0;5.43;0.33;0.48;0.03
30;"Casemiro";"Manchester United";27;2034;6;2;5.34;2.41;0.24;0.11
31;"Lukas Nmecha";"Leeds";23;758;6;1;6.45;0.81;0.77;0.1
32;"Matheus Cunha";"Manchester United";26;1896;6;2;4.98;2.4;0.24;0.11
33;"Bukayo Saka";"Arsenal";26;1920;6;3;8.06;6.35;0.38;0.3
34;"Eberechi Eze";"Arsenal,Crystal Palace";25;1434;6;2;3.7;2.47;0.23;0.15
35;"Kiernan Dewsbury-Hall";"Everton";22;1840;6;3;2.98;4.93;0.15;0.24
36;"Cody Gakpo";"Liverpool";27;1982;6;3;7.54;5.56;0.34;0.25
37;"Thierno Barry";"Everton";29;1637;6;0;7.6;0.9;0.42;0.05
38;"Evanilson";"Bournemouth";27;2067;6;0;9.2;2.32;0.4;0.1
39;"Callum Wilson";"West Ham";24;1006;5;1;6.27;0.52;0.56;0.05
40;"Mohamed Salah";"Liverpool";21;1806;5;6;7.08;5.44;0.35;0.27
41;"Emiliano Buendía";"Aston Villa";27;1384;5;2;3.22;2.35;0.21;0.15
42;"Pedro Neto";"Chelsea";28;2167;5;4;4.78;7.05;0.2;0.29
43;"Harvey Barnes";"Newcastle United";28;1490;5;0;6.66;2.34;0.4;0.14
44;"Martín Zubimendi";"Arsenal";30;2558;5;1;2.68;0.84;0.09;0.03
45;"Leandro Trossard";"Arsenal";26;1707;5;5;5.79;3.55;0.31;0.19
46;"Iliman Ndiaye";"Everton";23;1995;5;3;4.13;3.8;0.19;0.17
47;"Crysencio Summerville";"West Ham";24;1890;5;1;4.63;2.2;0.22;0.1
48;"Dango Ouattara";"Brentford";23;1647;5;2;6.12;3.31;0.33;0.18
49;"Brian Brobbey";"Sunderland";22;1197;5;1;2.97;0.94;0.22;0.07
50;"Marcus Tavernier";"Bournemouth";25;1974;5;4;6.4;3.55;0.29;0.16
51;"Tijjani Reijnders";"Manchester City";25;1487;5;2;4.41;3.03;0.27;0.18
52;"Diego Gómez";"Brighton";26;1811;5;0;4.82;1.49;0.24;0.07
53;"Alex Iwobi";"Fulham";23;2000;4;3;1.71;3.29;0.08;0.15
54;"Mikel Merino";"Arsenal";21;977;4;3;4.55;2.29;0.42;0.21
55;"Declan Rice";"Arsenal";29;2503;4;5;3.58;7.01;0.13;0.25
56;"Wilson Isidor";"Sunderland";26;1065;4;0;4.68;0;0.4;0
57;"Cristian Romero";"Tottenham";21;1714;4;1;1.8;1.69;0.09;0.09
58;"Lucas Paquetá";"West Ham";18;1544;4;1;2.44;3.01;0.14;0.18
59;"Anthony Gordon";"Newcastle United";23;1634;4;2;7.5;3.69;0.41;0.2
60;"Tomas Soucek";"West Ham";26;1424;4;0;4.22;0.75;0.27;0.05
61;"Malick Thiaw";"Newcastle United";26;2214;4;0;4.95;0.83;0.2;0.03
62;"Florian Wirtz";"Liverpool";25;1899;4;2;5.91;3.98;0.28;0.19
63;"Enzo Le Fée";"Sunderland";28;2320;4;4;4.36;2.46;0.17;0.1
64;"Donyell Malen";"Aston Villa";21;600;4;1;4.74;0.37;0.71;0.06
65;"Dominik Szoboszlai";"Liverpool";27;2426;4;3;3.6;5.57;0.13;0.21
66;"Anton Stach";"Leeds";24;1976;4;3;2.5;5.48;0.11;0.25
67;"Beto";"Everton";29;1026;4;0;7.11;0.61;0.62;0.05
68;"Micky van de Ven";"Tottenham";27;2370;4;1;2.42;0.96;0.09;0.04
69;"Ryan Gravenberch";"Liverpool";27;2354;4;3;1.11;2.1;0.04;0.08
70;"Brenden Aaronson";"Leeds";28;1904;4;3;5.35;4.4;0.25;0.21
71;"Jørgen Strand Larsen";"Crystal Palace,Wolverhampton Wanderers";27;1830;4;1;5.34;0.59;0.26;0.03
72;"Nico O&#039;Reilly";"Manchester City";27;2041;4;3;4.27;2.77;0.19;0.12
73;"Noah Okafor";"Leeds";23;1298;4;0;4.76;1.31;0.33;0.09
74;"Virgil van Dijk";"Liverpool";29;2610;3;0;3.4;0.22;0.12;0.01
75;"Michael Keane";"Everton";25;1955;3;0;3.26;0.1;0.15;0
76;"Dominic Solanke";"Tottenham";10;590;3;0;2.32;0.21;0.35;0.03
77;"Gabriel";"Arsenal";24;2077;3;4;3.19;2.65;0.14;0.11
78;"Jacob Murphy";"Newcastle United";24;1142;3;1;2.91;4.06;0.23;0.32
79;"Callum Hudson-Odoi";"Nottingham Forest";27;1645;3;2;2.8;3.25;0.15;0.18
80;"Trevoh Chalobah";"Chelsea";28;2470;3;0;1.37;0.61;0.05;0.02
81;"Samuel Chukwueze";"Fulham";15;725;3;4;1.55;2.57;0.19;0.32
82;"Emile Smith-Rowe";"Fulham";29;1445;3;0;3.57;1.14;0.22;0.07
83;"Lyle Foster";"Burnley";21;1170;3;1;3.29;0.85;0.25;0.07
84;"John McGinn";"Aston Villa";22;1663;3;2;2.39;2;0.13;0.11
