,,,,,,,Playing Time,,,,Performance,,,,,,,,Per 90 Minutes,,,,,
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,Gls,Ast,G+A,G-PK,G+A-PK,Matches
,,,,,,,,,,,,,?,,,,,,,,,,,
1,Mason Greenwood,eng ENG,MF,Marseille,24-161,2001,24,22,"1,891",21,15,4,19,10,5,7,3,0,0.71,0.19,0.9,0.48,0.67,Matches
2,Esteban Lepaul,fr FRA,FW,Rennes,25-327,2000,23,22,"1,709",19,12,3,15,12,0,1,2,0,0.63,0.16,0.79,0.63,0.79,Matches
3,Joaquín Panichelli,ar ARG,FW,Strasbourg,23-155,2002,25,23,"2,058",22.9,14,1,15,9,5,6,3,0,0.61,0.04,0.66,0.39,0.44,Matches
4,Ludovic Ajorque,fr FRA,FW,Brest,32-014,1994,24,24,"2,100",23.3,7,7,14,7,0,0,9,1,0.3,0.3,0.6,0.3,0.6,Matches
5,Pierre-Emerick Aubameyang,ga GAB,FW,Marseille,36-266,1989,22,15,"1,399",15.5,8,5,13,8,0,0,1,0,0.51,0.32,0.84,0.51,0.84,Matches
6,Pavel Šulc,cz CZE,"FW,MF",Lyon,25-072,2000,21,14,"1,254",13.9,10,3,13,10,0,0,2,0,0.72,0.22,0.93,0.72,0.93,Matches
7,Ousmane Dembélé,fr FRA,FW,Paris Saint-Germain,28-300,1997,15,7,719,8,8,4,12,6,2,3,0,0,1,0.5,1.5,0.75,1.25,Matches
8,Odsonne Édouard,fr FRA,FW,Lens,28-054,1998,21,20,"1,304",14.5,9,3,12,8,1,1,1,0,0.62,0.21,0.83,0.55,0.76,Matches
9,Ilan Kebbal,dz ALG,"MF,FW",Paris FC,27-245,1998,23,23,"1,957",21.7,8,4,12,5,3,3,5,0,0.37,0.18,0.55,0.23,0.41,Matches
10,Wesley Saïd,fr FRA,MF,Lens,30-326,1995,23,20,"1,604",17.8,10,2,12,9,1,1,2,0,0.56,0.11,0.67,0.5,0.62,Matches
11,Folarin Balogun,us USA,FW,Monaco,24-251,2001,21,17,"1,479",16.4,7,4,11,6,1,1,4,1,0.43,0.24,0.67,0.37,0.61,Matches
12,Bradley Barcola,fr FRA,FW,Paris Saint-Germain,23-190,2002,22,15,"1,324",14.7,10,1,11,10,0,0,2,0,0.68,0.07,0.75,0.68,0.75,Matches
13,Florian Thauvin,fr FRA,MF,Lens,33-044,1993,25,24,"1,967",21.9,8,3,11,6,2,3,5,0,0.37,0.14,0.5,0.27,0.41,Matches
14,Romain Del Castillo,fr FRA,"MF,FW",Brest,29-347,1996,23,23,"1,889",21,8,2,10,2,6,8,1,1,0.38,0.1,0.48,0.1,0.19,Matches
15,Gauthier Hein,fr FRA,"MF,FW",Metz,29-216,1996,21,18,"1,631",18.1,6,4,10,2,4,4,3,1,0.33,0.22,0.55,0.11,0.33,Matches
16,Sofiane Diop,ma MAR,"MF,FW",Nice,25-275,2000,24,20,"1,602",17.8,7,2,9,5,2,2,5,0,0.39,0.11,0.51,0.28,0.39,Matches
17,Breel Embolo,ch SUI,FW,Rennes,29-025,1997,22,15,"1,367",15.2,6,3,9,6,0,0,3,0,0.4,0.2,0.59,0.4,0.59,Matches
18,Pablo Pagis,fr FRA,"MF,FW",Lorient,23-072,2002,21,16,"1,267",14.1,8,1,9,7,1,1,1,0,0.57,0.07,0.64,0.5,0.57,Matches
19,Igor Paixão,br BRA,MF,Marseille,25-256,2000,22,15,"1,366",15.2,5,4,9,5,0,0,2,0,0.33,0.26,0.59,0.33,0.59,Matches
20,Lassine Sinayoko,ml MLI,"FW,MF",Auxerre,26-093,1999,24,24,"2,066",23,6,3,9,3,3,4,6,0,0.26,0.13,0.39,0.13,0.26,Matches
21,Adrien Thomasson,fr FRA,MF,Lens,32-091,1993,24,24,"2,081",23.1,2,7,9,2,0,0,8,0,0.09,0.3,0.39,0.09,0.39,Matches
22,Maghnes Akliouche,fr FRA,"MF,FW",Monaco,24-014,2002,22,20,"1,732",19.2,5,3,8,5,0,0,2,0,0.26,0.16,0.42,0.26,0.42,Matches
23,Félix Correia,pt POR,MF,Lille,25-048,2001,25,17,"1,410",15.7,3,5,8,3,0,0,1,0,0.19,0.32,0.51,0.19,0.51,Matches
24,Kamory Doumbia,ml MLI,MF,Brest,23-021,2003,19,18,"1,425",15.8,5,3,8,5,0,0,6,0,0.32,0.19,0.51,0.32,0.51,Matches
25,Ansu Fati,es ESP,MF,Monaco,23-131,2002,16,6,650,7.2,8,0,8,5,3,4,1,0,1.11,0,1.11,0.69,0.69,Matches
26,Yann Gboho,fr FRA,"MF,FW",Toulouse,25-056,2001,24,23,"2,070",23,6,2,8,6,0,0,1,0,0.26,0.09,0.35,0.26,0.35,Matches
27,Martial Godo,eng ENG,MF,Strasbourg,22-362,2003,20,12,"1,026",11.4,7,1,8,7,0,0,2,0,0.61,0.09,0.7,0.61,0.7,Matches
28,Aleksandr Golovin,ru RUS,MF,Monaco,29-285,1996,18,16,"1,249",13.9,3,5,8,3,0,0,3,1,0.22,0.36,0.58,0.22,0.58,Matches
29,Afonso Moreira,pt POR,"MF,FW",Lyon,20-357,2005,19,10,"1,008",11.2,2,6,8,2,0,0,2,0,0.18,0.54,0.71,0.18,0.71,Matches
30,Issa Soumaré,sn SEN,"FW,MF",Le Havre,25-152,2000,25,24,"2,138",23.8,6,2,8,5,1,3,2,0,0.25,0.08,0.34,0.21,0.29,Matches
31,Musa Al-Taamari,jo JOR,"MF,FW",Rennes,28-274,1997,24,17,"1,569",17.4,3,5,8,3,0,0,4,0,0.17,0.29,0.46,0.17,0.46,Matches
32,Corentin Tolisso,fr FRA,MF,Lyon,31-220,1994,22,20,"1,711",19,7,1,8,6,1,2,4,0,0.37,0.05,0.42,0.32,0.37,Matches
33,Vitinha,pt POR,MF,Paris Saint-Germain,26-026,2000,24,21,"1,855",20.6,1,7,8,1,0,0,2,0,0.05,0.34,0.39,0.05,0.39,Matches
34,Mohamed Ali Cho,fr FRA,"FW,MF",Nice,22-051,2004,17,15,"1,204",13.4,4,3,7,4,0,0,1,0,0.3,0.22,0.52,0.3,0.52,Matches
35,Ludovic Blas,fr FRA,"MF,FW",Rennes,28-070,1997,23,7,901,10,4,3,7,2,2,2,0,0,0.4,0.3,0.7,0.2,0.5,Matches
36,Bamba Dieng,sn SEN,FW,Lorient,25-353,2000,13,7,622,6.9,6,1,7,5,1,1,2,0,0.87,0.14,1.01,0.72,0.87,Matches
37,Guela Doué,ci CIV,"DF,MF",Strasbourg,23-145,2002,18,17,"1,521",16.9,2,5,7,2,0,0,3,0,0.12,0.3,0.41,0.12,0.41,Matches
38,Matias Fernandez-Pardo,be BEL,"MF,FW",Lille,21-036,2005,20,18,"1,580",17.6,4,3,7,4,0,0,4,0,0.23,0.17,0.4,0.23,0.4,Matches
39,Amine Gouiri,dz ALG,"FW,MF",Marseille,26-023,2000,14,10,828,9.2,5,2,7,5,0,0,0,0,0.54,0.22,0.76,0.54,0.76,Matches
40,Santiago Hidalgo,ar ARG,"MF,FW",Toulouse,21-022,2005,21,8,871,9.7,4,3,7,4,0,0,3,0,0.41,0.31,0.72,0.41,0.72,Matches
41,Khvicha Kvaratskhelia,ge GEO,FW,Paris Saint-Germain,25-027,2001,21,13,"1,083",12,4,3,7,4,0,0,1,0,0.33,0.25,0.58,0.33,0.58,Matches
42,Senny Mayulu,fr FRA,"MF,FW",Paris Saint-Germain,19-298,2006,18,15,"1,167",13,3,4,7,3,0,0,1,0,0.23,0.31,0.54,0.23,0.54,Matches
43,Diego Moreira,be BEL,MF,Strasbourg,21-217,2004,23,21,"1,830",20.3,3,4,7,3,0,0,4,0,0.15,0.2,0.34,0.15,0.34,Matches
44,Matthieu Udol,fr FRA,"MF,DF",Lens,29-356,1996,25,25,"2,237",24.9,0,7,7,0,0,0,2,0,0,0.28,0.28,0,0.28,Matches
45,Matthis Abline,fr FRA,"FW,MF",Nantes,22-348,2003,24,20,"1,902",21.1,4,2,6,4,0,1,5,0,0.19,0.09,0.28,0.19,0.28,Matches
46,Jonathan Clauss,fr FRA,"MF,DF",Nice,33-167,1992,22,20,"1,831",20.3,1,5,6,1,0,0,0,0,0.05,0.25,0.29,0.05,0.29,Matches
47,Désiré Doué,fr FRA,"FW,MF",Paris Saint-Germain,20-281,2005,16,10,837,9.3,4,2,6,4,0,1,0,0,0.43,0.22,0.65,0.43,0.65,Matches
48,Aron Dønnum,no NOR,"MF,FW",Toulouse,27-325,1998,20,20,"1,769",19.7,3,3,6,0,3,3,6,0,0.15,0.15,0.31,0,0.15,Matches
49,Emanuel Emegha,nl NED,FW,Strasbourg,23-036,2003,7,4,414,4.6,4,2,6,4,0,0,3,0,0.87,0.43,1.3,0.87,1.3,Matches
50,Endrick,br BRA,FW,Lyon,19-233,2006,7,6,532,5.9,3,3,6,2,1,1,2,1,0.51,0.51,1.02,0.34,0.85,Matches
51,Olivier Giroud,fr FRA,FW,Lille,39-162,1986,22,17,"1,451",16.1,5,1,6,3,2,3,2,0,0.31,0.06,0.37,0.19,0.25,Matches
52,Hákon Haraldsson,is ISL,"MF,FW",Lille,22-335,2003,23,20,"1,695",18.8,5,1,6,5,0,0,4,0,0.27,0.05,0.32,0.27,0.32,Matches
53,Pierre Højbjerg,dk DEN,MF,Marseille,30-218,1995,23,21,"1,928",21.4,2,4,6,2,0,0,3,0,0.09,0.19,0.28,0.09,0.28,Matches
54,Hamza Igamane,ma MAR,FW,Lille,23-129,2002,13,4,432,4.8,5,1,6,5,0,0,2,0,1.04,0.21,1.25,1.04,1.25,Matches
55,Arsène Kouassi,bf BFA,MF,Lorient,21-181,2004,23,22,"1,903",21.1,2,4,6,2,0,0,3,0,0.09,0.19,0.28,0.09,0.28,Matches
56,Frank Magri,cm CMR,"FW,MF",Toulouse,26-188,1999,17,16,"1,253",13.9,5,1,6,5,0,1,3,0,0.36,0.07,0.43,0.36,0.43,Matches
57,Nuno Mendes,pt POR,DF,Paris Saint-Germain,23-265,2002,17,12,"1,139",12.7,3,3,6,3,0,0,1,0,0.24,0.24,0.47,0.24,0.47,Matches
58,Rassoul Ndiaye,sn SEN,MF,Le Havre,24-090,2001,25,22,"1,892",21,3,3,6,3,0,0,1,0,0.14,0.14,0.29,0.14,0.29,Matches
59,João Neves,pt POR,MF,Paris Saint-Germain,21-165,2004,14,11,"1,002",11.1,5,1,6,5,0,0,0,0,0.45,0.09,0.54,0.45,0.54,Matches
60,Gonçalo Ramos,pt POR,FW,Paris Saint-Germain,24-264,2001,23,10,"1,025",11.4,5,1,6,4,1,1,2,0,0.44,0.09,0.53,0.35,0.44,Matches
61,Djibril Sidibé,fr FRA,"MF,DF",Toulouse,33-225,1992,25,21,"1,787",19.9,3,3,6,2,1,2,1,0,0.15,0.15,0.3,0.1,0.25,Matches
62,Sambou Soumano,sn SEN,FW,Lorient,25-067,2001,24,8,851,9.5,4,2,6,4,0,1,2,0,0.42,0.21,0.63,0.42,0.63,Matches
63,Robinio Vaz,fr FRA,FW,Marseille,19-022,2007,14,3,379,4.2,4,2,6,4,0,0,2,0,0.95,0.47,1.42,0.95,1.42,Matches
64,Valentín Barco,ar ARG,MF,Strasbourg,21-231,2004,22,20,"1,808",20.1,1,4,5,1,0,0,4,1,0.05,0.2,0.25,0.05,0.25,Matches
65,Mamadou Coulibaly,fr FRA,MF,Monaco,21-324,2004,17,13,"1,066",11.8,3,2,5,3,0,0,5,1,0.25,0.17,0.42,0.25,0.42,Matches
