"number";"player";"team";"apps";"min";"goals";"a";"xG";"xA";"xG90";"xA90"
1;"Mason Greenwood";"Marseille";24;1928;15;4;12.2;5.31;0.57;0.25
2;"Joaquín Panichelli";"Strasbourg";25;2070;14;1;13.54;2.95;0.59;0.13
3;"Esteban Lepaul";"Angers,Rennes";25;1952;13;3;10.6;1.82;0.49;0.08
4;"Wesley Said";"Lens";23;1651;10;2;9.42;5.64;0.51;0.31
5;"Bradley Barcola";"Paris Saint Germain";22;1340;10;1;9.82;4.05;0.66;0.27
6;"Odsonne Edouard";"Lens";21;1373;9;3;9.41;1.8;0.62;0.12
7;"Pavel Sulc";"Lyon";21;1265;9;3;7.21;2.64;0.51;0.19
8;"Pierre-Emerick Aubameyang";"Marseille";22;1424;8;5;9.45;4.53;0.6;0.29
9;"Florian Thauvin";"Lens";25;2025;8;3;10.4;6.62;0.46;0.29
10;"Ousmane Dembélé";"Paris Saint Germain";15;717;8;4;4.73;3.61;0.59;0.45
11;"Romain Del Castillo";"Brest";23;1931;8;2;7.31;5.14;0.34;0.24
12;"Anssumane Fati";"Monaco";16;620;8;0;9.43;0.9;1.37;0.13
13;"Ilan Kebbal";"Paris FC";23;1984;8;4;5.37;3.58;0.24;0.16
14;"Pablo Pagis";"Lorient";21;1301;8;1;5.95;2.49;0.41;0.17
15;"Corentin Tolisso";"Lyon";22;1734;7;1;8;3.27;0.42;0.17
16;"Sofiane Diop";"Nice";24;1659;7;2;5.98;2.54;0.32;0.14
17;"Ludovic Ajorque";"Brest";24;2114;7;7;8.2;2.44;0.35;0.1
18;"Folarin Balogun";"Monaco";21;1510;7;4;8.48;3.43;0.51;0.2
19;"Martial Godo";"Strasbourg";20;1037;7;1;6.36;0.65;0.55;0.06
20;"Breel Embolo";"Rennes";22;1367;6;3;5.42;1.43;0.36;0.09
21;"Gauthier Hein";"Metz";21;1635;6;4;4.98;2.46;0.27;0.14
22;"Yann Gboho";"Toulouse";24;2082;6;3;4.22;2.77;0.18;0.12
23;"Ahmadou Bamba Dieng";"Lorient";13;627;6;1;4.6;1.08;0.66;0.16
24;"Lassine Sinayoko";"Auxerre";24;2102;6;3;8.67;3.91;0.37;0.17
25;"Issa Soumaré";"Le Havre";25;2132;6;2;10.3;3.09;0.43;0.13
26;"Olivier Giroud";"Lille";22;1490;5;1;7.31;1.85;0.44;0.11
